file,rounds,tjpgd full(us),zjpgd full(us),zjpgd rect(us),zjpgd central 1/4(us),zjpgd top left 1/4(us),zjpgd bottom right 1/4(us)
file samples/rgbw_211x238_422.jpg,20,3077,3225,3726,2524,2344,2537
file samples/rgbw_211x238_444.jpg,20,3314,3496,4742,2544,2483,2496
file samples/rgbw_214x33_400.jpg,20,2111,2025,2054,1888,1890,1889
file samples/rgbw_214x33_420.jpg,20,2145,2140,2229,1815,1792,1981
file samples/rgbw_214x33_422.jpg,20,2446,2152,2218,1920,1901,1907
file samples/rgbw_214x33_444.jpg,20,2135,2091,2251,1976,1890,1901
file samples/rgbw_22x3_400.jpg,20,1923,1851,1859,1854,1854,1825
file samples/rgbw_22x3_420.jpg,20,1977,1837,1858,1863,1929,1978
file samples/rgbw_22x3_422.jpg,20,2301,2136,1915,1878,1835,1825
file samples/rgbw_22x3_444.jpg,20,1935,1916,1846,1844,1990,1827
file samples/rgbw_233x16_400.jpg,20,2052,1869,1919,2270,2005,1936
file samples/rgbw_233x16_420.jpg,20,2068,1995,1985,1958,1854,1917
file samples/rgbw_233x16_422.jpg,20,2046,2025,2067,2050,1908,1799
file samples/rgbw_233x16_444.jpg,20,1972,2150,2054,1888,1921,1862
file samples/rgbw_236x166_400.jpg,20,2826,2918,2804,2194,2215,2202
file samples/rgbw_236x166_420.jpg,20,2909,3113,3299,2298,2261,2100
file samples/rgbw_236x166_422.jpg,20,3268,3239,3649,2330,2328,2304
file samples/rgbw_236x166_444.jpg,20,2882,3061,3895,2423,2422,2432
file samples/rgbw_247x117_400.jpg,20,2988,2550,2651,2068,2184,2253
file samples/rgbw_247x117_420.jpg,20,2731,2663,3078,2125,2138,2158
file samples/rgbw_247x117_422.jpg,20,2666,2862,3144,2499,2208,2241
file samples/rgbw_247x117_444.jpg,20,2731,2798,3326,2289,2299,2146
file samples/rgbw_255x104_400.jpg,20,2616,2560,2586,2054,2023,2008
file samples/rgbw_255x104_420.jpg,20,2635,2748,2952,2209,2124,2195
file samples/rgbw_255x104_422.jpg,20,2645,3112,3048,2389,2126,2183
file samples/rgbw_255x104_444.jpg,20,2590,2722,3497,2229,2245,2441
file samples/rgbw_265x130_400.jpg,20,2801,2982,3075,2615,2674,2767
file samples/rgbw_265x130_420.jpg,20,2839,3018,3345,2760,2732,2688
file samples/rgbw_265x130_422.jpg,20,2959,3220,3655,2415,2392,2430
file samples/rgbw_265x130_444.jpg,20,2894,3139,4299,2558,2480,2457
file samples/rgbw_278x12_400.jpg,20,2081,2039,2376,2245,2558,2164
file samples/rgbw_278x12_420.jpg,20,2622,2971,2560,2653,2396,2124
file samples/rgbw_278x12_422.jpg,20,2822,2343,2375,2759,2684,2848
file samples/rgbw_278x12_444.jpg,20,2433,3383,3785,4655,3536,2449
file samples/rgbw_278x49_400.jpg,20,2890,2829,3035,2437,2927,2326
file samples/rgbw_278x49_420.jpg,20,3160,3463,3686,2731,2722,2530
file samples/rgbw_278x49_422.jpg,20,2610,3469,4535,3097,3313,2284
file samples/rgbw_278x49_444.jpg,20,2283,2280,2571,2183,2246,2358
file samples/rgbw_285x223_400.jpg,20,3695,4086,4043,3144,2993,2673
file samples/rgbw_285x223_420.jpg,20,3289,3872,4531,3087,2807,3087
file samples/rgbw_285x223_422.jpg,20,3560,4451,5125,2780,2746,2838
file samples/rgbw_285x223_444.jpg,20,3659,4117,5079,2873,2768,3366
file samples/rgbw_285x73_400.jpg,20,2647,2493,2609,2166,2160,2162
file samples/rgbw_285x73_420.jpg,20,4330,3332,2994,2265,2223,2304
file samples/rgbw_285x73_422.jpg,20,2574,2667,3260,2272,2223,2260
file samples/rgbw_285x73_444.jpg,20,2521,2731,3068,2187,2233,2324
file samples/rgbw_2x78_400.jpg,20,2025,1972,1965,1899,1866,1925
file samples/rgbw_2x78_420.jpg,20,2002,1993,1960,1955,1935,2152
file samples/rgbw_2x78_422.jpg,20,1982,1961,2053,1915,1940,1970
file samples/rgbw_2x78_444.jpg,20,1975,1952,2004,2072,2195,1996
file samples/rgbw_300x15_400.jpg,20,2092,2059,2082,2070,1973,2025
file samples/rgbw_300x15_420.jpg,20,2096,2127,2130,2043,2054,2297
file samples/rgbw_300x15_422.jpg,20,2229,2132,2154,2050,2117,2054
file samples/rgbw_300x15_444.jpg,20,2591,2795,2309,2117,2200,2099
file samples/rgbw_306x143_400.jpg,20,3045,3083,3444,2522,2338,2530
file samples/rgbw_306x143_420.jpg,20,3036,3308,3719,2636,2534,2440
file samples/rgbw_306x143_422.jpg,20,2998,3407,3946,2539,2412,2533
file samples/rgbw_306x143_444.jpg,20,3056,3114,4178,2679,2339,2383
file samples/rgbw_312x36_400.jpg,20,2262,2154,2295,2059,1945,1947
file samples/rgbw_312x36_420.jpg,20,2282,2278,2371,1961,1976,1980
file samples/rgbw_312x36_422.jpg,20,2304,2660,2415,1989,1975,2251
file samples/rgbw_312x36_444.jpg,20,2287,2220,2495,2023,2030,2115
file samples/rgbw_314x209_400.jpg,20,3261,3579,3806,2296,2142,2503
file samples/rgbw_314x209_420.jpg,20,3251,3685,4649,2668,2525,2712
file samples/rgbw_314x209_422.jpg,20,4384,4005,5014,2752,2472,2587
file samples/rgbw_314x209_444.jpg,20,3701,4458,5435,2847,2755,2707
file samples/rgbw_32x32_400.jpg,20,1971,1911,1884,2177,1821,1827
file samples/rgbw_32x32_420.jpg,20,1900,1814,1822,1793,1812,1861
file samples/rgbw_32x32_422.jpg,20,1935,1823,1946,1891,1915,2075
file samples/rgbw_32x32_444.jpg,20,2059,1938,2011,1892,1989,1886
file samples/rgbw_33x32_400.jpg,20,1953,2103,2013,2043,2068,1951
file samples/rgbw_33x32_420.jpg,20,1948,1956,1954,2042,1997,2033
file samples/rgbw_33x32_422.jpg,20,2075,1972,2057,1962,1965,1990
file samples/rgbw_33x32_444.jpg,20,2000,2473,2476,1889,1919,1906
file samples/rgbw_39x32_400.jpg,20,2260,1988,1898,1878,1843,1917
file samples/rgbw_39x32_420.jpg,20,2135,2613,2306,2111,2511,1975
file samples/rgbw_39x32_422.jpg,20,2179,2601,3014,2449,1924,1899
file samples/rgbw_39x32_444.jpg,20,1966,1897,1883,1888,2124,2270
file samples/rgbw_40x32_400.jpg,20,2238,1966,2081,1873,1959,2044
file samples/rgbw_40x32_420.jpg,20,1989,1994,1952,1905,1927,1961
file samples/rgbw_40x32_422.jpg,20,1946,2104,2086,1932,1923,1906
file samples/rgbw_40x32_444.jpg,20,2072,1961,2044,1946,1869,1845
file samples/rgbw_40x79_400.jpg,20,2154,2104,2049,2276,2371,2272
file samples/rgbw_40x79_420.jpg,20,2267,2221,2523,2353,2463,2324
file samples/rgbw_40x79_422.jpg,20,2514,2680,2753,1950,2071,2022
file samples/rgbw_40x79_444.jpg,20,2101,2039,2113,1977,1927,1941
file samples/rgbw_49x26_400.jpg,20,1986,2145,1942,1989,1920,1914
file samples/rgbw_49x26_420.jpg,20,2118,2160,2129,1966,1913,1935
file samples/rgbw_49x26_422.jpg,20,2050,1957,1997,1993,1861,1876
file samples/rgbw_49x26_444.jpg,20,2027,1926,1960,1883,4545,2020
file samples/rgbw_51x129_400.jpg,20,2100,2082,2120,2148,2028,1957
file samples/rgbw_51x129_420.jpg,20,2225,2233,2292,2006,2008,2074
file samples/rgbw_51x129_422.jpg,20,2129,2399,3731,4511,2692,7122
file samples/rgbw_51x129_444.jpg,20,3197,3098,3996,2666,2497,2439
file samples/rgbw_51x198_400.jpg,20,2542,3224,4938,2557,2034,1998
file samples/rgbw_51x198_420.jpg,20,2414,2278,2414,2510,2779,2659
file samples/rgbw_51x198_422.jpg,20,2609,2490,2668,2278,2097,2064
file samples/rgbw_51x198_444.jpg,20,2523,2501,2554,2191,2073,2016
file samples/rgbw_55x66_400.jpg,20,2148,2026,2058,1937,2131,1938
file samples/rgbw_55x66_420.jpg,20,1991,2064,2039,1866,2248,2028
file samples/rgbw_55x66_422.jpg,20,3092,2550,2283,1978,1930,1960
file samples/rgbw_55x66_444.jpg,20,2056,1997,2022,1869,1878,1896
file samples/rgbw_57x179_400.jpg,20,3049,2665,2328,2043,1990,2015
file samples/rgbw_57x179_420.jpg,20,2434,2406,2488,2106,2039,2191
file samples/rgbw_57x179_422.jpg,20,2479,2345,2478,2105,2035,2119
file samples/rgbw_57x179_444.jpg,20,2287,2469,2445,2098,2102,2047
file samples/rgbw_63x102_400.jpg,20,2180,2097,2135,1997,1970,1948
file samples/rgbw_63x102_420.jpg,20,2105,2149,2209,1969,2311,1992
file samples/rgbw_63x102_422.jpg,20,2126,2140,2246,2418,2095,2083
file samples/rgbw_63x102_444.jpg,20,2109,2093,2145,1926,1859,1922
file samples/rgbw_64x29_400.jpg,20,2018,1838,1847,1824,1800,1826
